user_id,mois,depenses_mensuelles,profil,salaire,loyer,ville,objectif_financier,comportement,habitudes_sorties,habitudes_courses
1,2024-01,3249.32,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-02,2437.57,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-03,4879.3,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-04,3692.0099999999998,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-05,3262.31,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-06,3651.88,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-07,4714.42,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-08,2893.11,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-09,3301.1,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-10,2990.75,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-11,3446.17,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
1,2024-12,2534.42,jeune_salarie,1976,653,Rennes,économiser,dépensier,143,433
2,2024-01,4631.56,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-02,1019.8100000000001,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-03,4569.8,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-04,2871.5099999999998,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-05,2864.92,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-06,2584.84,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-07,3063.1,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-08,3195.51,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-09,2815.63,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-10,2991.23,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-11,2600.92,cadre,3209,1455,Lyon,économiser,économe,114,495
2,2024-12,1064.86,cadre,3209,1455,Lyon,économiser,économe,114,495
3,2024-01,1752.77,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-02,1134.01,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-03,2287.51,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-04,1359.76,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-05,1731.3999999999999,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-06,1809.18,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-07,2154.75,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-08,1824.45,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-09,1978.24,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-10,1409.9,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-11,1568.08,etudiant,836,385,Rennes,stabiliser,économe,142,160
3,2024-12,1088.11,etudiant,836,385,Rennes,stabiliser,économe,142,160
4,2024-01,3348.84,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-02,1307.17,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-03,3358.44,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-04,2093.54,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-05,2583.68,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-06,2510.7599999999998,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-07,2200.81,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-08,2619.52,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-09,2754.82,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-10,2780.48,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-11,2678.11,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
4,2024-12,1089.28,fonctionnaire,2044,534,Lille,stabiliser,normal,199,328
5,2024-01,2940.0299999999997,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-02,2211.3,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-03,3233.85,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-04,2059.08,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-05,2254.37,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-06,2490.98,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-07,3043.87,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-08,2130.26,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-09,2815.13,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-10,3455.62,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-11,3161.35,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
5,2024-12,1121.68,fonctionnaire,2733,735,Lyon,acheter_voiture,normal,291,170
6,2024-01,3204.93,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-02,1875.18,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-03,4995.39,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-04,3433.3,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-05,2796.33,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-06,3236.0099999999998,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-07,3026.66,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-08,3273.2200000000003,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-09,2984.08,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-10,3352.02,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-11,3114.06,etudiant,1001,496,Marseille,investir,dépensier,68,219
6,2024-12,2232.84,etudiant,1001,496,Marseille,investir,dépensier,68,219
7,2024-01,2791.05,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-02,1251.72,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-03,3261.88,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-04,2196.7599999999998,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-05,2230.86,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-06,1731.74,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-07,1950.49,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-08,2083.02,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-09,2510.77,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-10,2771.69,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
7,2024-11,2327.25,fonctionnaire,2804,835,Bordeaux,acheter_voiture,économe,192,337
